,Review
0,"Заказал данные наушники ребенку, доставка была курьером в определенный день и время. Наушники замечательные, качество звука на высоте, удобные амброшуры.
Товаром доволен, спасибо)"
1,"Навушники прикольні, гарної якості. Купувала чоловікові на подарунок, він в захваті від них"
2,А какая длина шнура?
3,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Кабель гарнітури - 1.3 метри, подовжувач-перехідник для ПК - 1.7 метри."
4,Не работает двойной роз'єм но работает только звук а микрофон не работает поетому
5,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Матвiй! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Варто перевірити гарнітуру на телефоні - чи взагалі працює мікрофон. Якщо працює - можна перевірити перехідник на іншому ПК чи ноутбуці. Якщо він справний - можна перевірити чи дозволено системі працювати з мікрофоном в ""Центрі безпеки""."
6,"Купил наушники, все хорошо. Звук отличный, микрофон хороший. Но есть проблемка с проводом который переходит в 2 (для наушников и микрофона) иногда соединение основного и удлиненного немного проварачивается и микрофон перестает работать, приходиться поднимать этот провод и крутить его."
7,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Зверніться, будь ласка, в сервіс по гарантії."
8,"Наушники ідеальні по якості, син задоволений (не риплять, тримають звук супер, низи чутно добряче, мікрофон працює добре, шумоізоляція сторонніх звуків на 60%, довгий шнур зі зʼєднанням)."
9,Наушники топ звук хороший микрофон тоже
10,Вроде норм
11,"Купував такі собі ще років 5-6 тому, з часом трошки зносились, замінював амбушури, звук гірше не ставав але один раз зміг поламати кабель, через що довелось замінити його. Вдруге купую їх собі так як потрібні для дружини, у обох тепер такі навушники (при тому що сам ще маю revolver s) та не маємо ніяких проблем)"
12,"Працюю в них регулярно, якщо не слухаю музику то використовую для подавлення зовнішнього шуму. Звуком задоволений."
13,"Поки не розумію як їх налаштувати, чи буде гарним вибором придбати додатково звукову карту якусь?"
14,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Ця гарнітура - суто аналоговий пристрій, який відтворює звук, який на нього подає аудіоконтролер. Тобто - налаштувати можна аудіоконтролер,і усі налаштування торкаються тільки його."
15,Хороші навушники
16,После недели пользования просто пропал звук безвозвратно
17,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Юзер! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Будь ласка, перевірте регулятор гучності."
18,був використаний dts x код
19,"Добрий день!

Шановний Андрiй! Приносимо свої вибачення за ваш негативний досвiд використання нашої гарнiтури. Ми розумiємо ваше обурення: вкрай прикро, коли виходить з ладу улюблений гаджет.

Напишіть, будь ласка, на ee.support@hyperx.com - можливо, локально це питання вирішити буде швидше."
20,Хороші навушники
21,Не рекомендую
22,"Гарний звук, прекрасне шумло подалення"
23,тихие
24,"Забрав сьогодні навушники, підключив до комп'ютера, динаміки працюють, але є неприємний звук, а мікрофон взагалі не працює("
25,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Владислав! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Щоб ПК міг побачити мікрофон, ці навушники потрібно підключати або до 4-контактного комбінованого роз'єму (зазвичай він позначається як навушники + мікрофон), або, якщо роз'єми для навушників і мікрофону на ПК роздільні - через розгалужувач на два 3,5 мм штекери."
26,"Звук хороший, якість на висоті. Залишився задоволений."
27,Купували синові. Залишився задоволений.
28,Звук трохи не дотягує до airpods prо!
29,"5 лет позьзовался почти каждый день, никаких серьезных проблемм небыло, пару лет назад попрощался с кожей на наушниках, 2 месяца назад отвалилась накладка на ухо, пару недель назад начал отказывать кабель возле уха, так что пришло время покупать что-то новое. В целом покупкой полностью доволен, за все время бесил только кабель (точнее его наличие) сейчас буду покупать уже беспроводные наушники."
30,"Покишо в користуванні дише 5 днів, але тим не менш всім задоволений."
31,Супер
32,"Очень плохая настройка наушников, пришлось весь ютуб перерыть и в итоге спустя 40 минут методом тыка решить проблемы. А так в целом звук отличный, что в ушах, что в микрофоне."
33,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Нiкiта! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Ці навушники взагалі майже не налаштовуються - тільки гучність і все. Усі налаштування, що Ви робили - то були налаштування не навушників, а аудіоконтролеру, до якого вони підключені."
34,"Відгук після 6( Шести! ) років використання: навушники все ще нормально працюють.

Але все ж кілька речей зламалось за цей час:
1) кришка від мікрофону відлетіла ~2 роки тому. Але з самим мікрофоном все ок
2) амбішури звісно стерлись роки тому
3) колесо регулювання гучності певним чином ламає навушники. Грубо кажучи в деяких позиціях прокрутки з'являється статичний шум і один навушник перестає працювати.
4) якщо амбішури можна замінити, то оцю м'яку смугу над головою замінити не вийде, а вона теж облазить, хоча значно менше.

Грубо кажучи, навушники і далі продовжують добре виконувати свої функції, але є нюанси."
35,"По всім пунктам згоден, особливо за регулювання звуком. Tа сама проблема.
Стала проявлятись десь на 4-5 рік використання. Користуюсь років 6-7, тільки Cloud"
36,"Все те саме з іншою моделлю. за 6 років геть облізли, проблеми з мікшером зʼявились через пару місяців користування, при чому ще гірше — ледве його зачепиш, звук зникає."
37,"Все супер,гарно звучать"
38,"Непогані,але сам провод дуже не надійний. У кого є тварини,або діти,не підійде))"
39,"В який провід і у яких слухавках надійний? Приклад у студію!
По вашому провід має бути як буксирувальний трос від вантажівки? Чи товщиною як кабель до ТВ?"
40,Тиждень вже ними користуюсь поки політ нормальний
41,"Отличные, дешёвые наушники, если бы не свист и шум"
42,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Артём! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Ця гарнітура не має чим свистіти та шуміти - все це повністю від того аудіоконтролеру, до якого підключена гарнітура. Перевірте, будь ласка, його налаштування, а також, надійність заземлення корпусу ПК."
43,"это что-то не так с микрофоном, подключил другой микрофон - шума и свиста нету, он только на этом"
44,"Доброго дня. Придбав дані навушники 22.09.23 доставили 23.09.2023 року і вже у вечері перестав робити мікрофон.
Служба підтримки не відповідає на звернення"
45,"Добрий день!
Дякую, що обрали продукт нашої компанiї.

Шановний Матвiй! Дякую, що знайшли час i залишили нам вiдгук. Дозвольте принести вам свої вибачення за ту проблему, з якою ви зiткнулися. Сталося деяке непорозумiння.

Будь ласка, перевірте гарнітуру на телефоні. Якщо на ньому мікрофон працюватиме - перевірте підключення до ПК та дозволи на роботу з мікрофоном в налаштуваннях безпеки."
46,Доброго вечора на телефоні і на ПК не працює дозволи всі є
47,"Зверніться, будь ласка, в сервіс по гарантії."
48,"Класные наушники,звук прекрасный,микрофон идеально работает шумоподавление нормальное но не идеальное"
49,"Спасибо за DTS X
Мои самые качественные наушники, микрофон топ, цена топ!"
50,"Купив з тиждень, тому на заміну bloody g430(там за 3 роки користування погано працював регулятор гучності). По звуку: дуже насичений звук з яскраво вираженими басами, але здається трошки просідає середина нижня звукового діапазону. Легкі, хороший мікрофон з - непоганим шумодавом. Із мінусів, формфактор амбушур, при стандартному положенні на голові вони тиснуть за вухами, але це вирішується зміщенням ободка навушників трошки вперед.
DTS для ігор також але не для cs:go і squad, бо від звуків пострілів і вибухів на максимальній гучності можна отримати контузію)"
51,Це найкращі поки що навушники які я мав
